iata,name,city,country_code,size_rank
JAF,Jaffna International Airport,Jaffna,LK,0
JAI,Jaipur International Airport,Jaipur,IN,0
JAX,Jacksonville International Airport,Jacksonville,US,0
JCL,České Budějovice South Bohemian Airport,České Budějovice,CZ,0
JED,King Abdulaziz International Airport,Jeddah,SA,0
JFK,John F. Kennedy International Airport,New York,US,0
JGN,Jiayuguan International Airport,Jiayuguan,CN,0
JHB,Senai International Airport,Johor Bahru,MY,0
JHG,Xishuangbanna Gasa International Airport,Jinghong (Gasa),CN,0
JIB,Djibouti-Ambouli Airport,Djibouti City,DJ,0
JIJ,Gerad Wilwal International Airport,Jijiga,ET,0
JJN,Quanzhou Jinjiang International Airport,Quanzhou,CN,0
JNB,O.R. Tambo International Airport,Johannesburg,ZA,0
JPA,Presidente Castro Pinto International Airport,João Pessoa,BR,0
JRO,Kilimanjaro International Airport,Arusha,TZ,0
JTR,Santorini International Airport,Santorini Island,GR,0
JUB,Juba International Airport,Juba,SS,0
JUJ,Gobernador Horacio Guzman International Airport,San Salvador de Jujuy,AR,0
JUL,Inca Manco Capac International Airport,Juliaca,PE,0
KAD,Kaduna International Airport,Kaduna,NG,0
KAN,Mallam Aminu Kano International Airport,Kano,NG,0
KBL,Kabul International Airport,Kabul,AF,0
KBV,Krabi International Airport,Krabi,TH,0
KCH,Kuching International Airport,Kuching,MY,0
KCZ,Kochi Ryoma Airport,Nankoku,JP,0
KDH,Ahmad Shah Baba International Airport,Kandahar,AF,0
KDU,Skardu International Airport,Skardu,PK,0
KEF,Keflavik International Airport,Reykjavík,IS,0
KEJ,Alexei Leonov Kemerovo International Airport,Kemerovo,RU,0
KER,Ayatollah Hashemi Rafsanjani International Airport,Kerman,IR,0
KGD,Khrabrovo Airport,Kaliningrad,RU,0
KGF,Sary-Arka Airport,Karaganda,KZ,0
KGL,Kigali International Airport,Kigali,RW,0
KGS,"Kos International Airport ""Ippokratis""",Kos Island,GR,0
KHG,Kashgar Laining International Airport,Kashgar,CN,0
KHH,Kaohsiung International Airport,Kaohsiung (Xiaogang),TW,0
KHI,Jinnah International Airport,Karachi,PK,0
KHN,Nanchang Changbei International Airport,Nanchang,CN,0
KIH,Kish International Airport,Kish Island,IR,0
KIJ,Niigata Airport,Niigata,JP,0
KIK,Kirkuk International Airport,Kirkuk,IQ,0
KIM,Kimberley Airport,Kimberley,ZA,0
KIN,Norman Manley International Airport,Kingston,JM,0
KIS,Kisumu International Airport,Kisumu,KE,0
KIX,Kansai International Airport,Osaka,JP,0
KJA,Krasnoyarsk International Airport,Krasnoyarsk,RU,0
KKJ,Kitakyushu Airport,Kitakyushu,JP,0
KLO,Kalibo International Airport,Kalibo,PH,0
KLU,Klagenfurt Airport,Klagenfurt am Wörthersee,AT,0
KLV,Karlovy Vary Airport,Karlovy Vary,CZ,0
KMG,Kunming Changshui International Airport,Kunming,CN,0
KMI,Miyazaki Airport,Miyazaki,JP,0
KMJ,Kumamoto Airport,Kumamoto,JP,0
KMQ,Komatsu Airport / JASDF Komatsu Air Base,Kanazawa,JP,0
KMS,Prempeh I International Airport,Kumasi,GH,0
KNO,Kualanamu International Airport,Beringin,ID,0
KOA,Ellison Onizuka Kona International Airport at Keāhole,Kailua-Kona,US,0
KOJ,Kagoshima Airport,Kagoshima,JP,0
KOS,Sihanouk International Airport,Preah Sihanouk,KH,0
KOV,Kokshetau International Airport,Kokshetau,KZ,0
KQT,Bokhtar International Airport,Bokhtar,TJ,0
KRK,Kraków John Paul II International Airport,Balice,PL,0
KRN,Kiruna Airport,Kiruna,SE,0
KRR,Krasnodar Pashkovsky International Airport,Krasnodar,RU,0
KRS,Kristiansand Airport,Kristiansand(Kjevik),NO,0
KRT,Khartoum International Airport,Khartoum,SD,0
