iata,name,city,country_code,size_rank
REC,Recife/Guararapes - Gilberto Freyre International Airport,Recife,BR,0
RES,Resistencia International Airport,Resistencia,AR,0
REU,Reus Airport,Reus,ES,0
RGL,Piloto Civil Norberto Fernández International Airport,Rio Gallegos,AR,0
RGN,Yangon International Airport,Yangon,MM,0
RHO,"Rhodes International Airport ""Diagoras""",Rhodes,GR,0
RIC,Richmond International Airport,Richmond,US,0
RIX,Riga International Airport,Riga,LV,0
RIY,Riyan International Airport,Mukalla(Riyan),YE,0
RJK,Rijeka Airport,Rijeka(Omišalj),HR,0
RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,AE,0
RKZ,Xigaze Peace Airport / Shigatse Air Base,Xigazê (Samzhubzê),CN,0
RMF,Marsa Alam International Airport,Marsa Alam,EG,0
RMI,Federico Fellini International Airport,Rimini (RN),IT,0
RML,Colombo Ratmalana International Airport,Colombo,LK,0
RMO,Chişinău International Airport,Chişinău,MD,0
RMQ,Taichung International Airport / Ching Chuang Kang Air Base,Taichung (Qingshui),TW,0
RMU,Region of Murcia International Airport,Corvera,ES,0
RNO,Reno Tahoe International Airport,Reno,US,0
ROB,Roberts International Airport,Monrovia,LR,0
ROC,Frederick Douglass Greater Rochester International Airport,Rochester,US,0
ROP,Rota International Airport,Rota Island,MP,0
ROR,Roman Tmetuchl International Airport,Babelthuap Island,PW,0
ROS,Rosario Islas Malvinas International Airport,Rosario,AR,0
RSI,Red Sea International Airport,Hanak,SA,0
RSW,Southwest Florida International Airport,Fort Myers,US,0
RTB,Juan Manuel Gálvez International Airport,Coxen Hole,HN,0
RTM,Rotterdam The Hague Airport,Rotterdam,NL,0
RUH,King Khalid International Airport,Riyadh,SA,0
RUN,Roland Garros Airport,Sainte-Marie,RE,0
RVN,Rovaniemi Airport,Rovaniemi,FI,0
RZE,Rzeszów-Jasionka Airport,Jasionka,PL,0
SAG,Shirdi International Airport,Kakadi,IN,0
SAH,Sanaa International Airport,Sanaa,YE,0
SAI,Siem Reap-Angkor International Airport,Siem Reap,KH,0
SAL,El Salvador International Airport Saint Óscar Arnulfo Romero y Galdámez,San Salvador (San Luis Talpa),SV,0
SAN,San Diego International Airport,San Diego,US,0
SAP,Ramón Villeda Morales International Airport,San Pedro Sula,HN,0
SAT,San Antonio International Airport,San Antonio,US,0
SAV,Savannah Hilton Head International Airport,Savannah,US,0
SAW,Istanbul Sabiha Gökçen International Airport,"Pendik, Istanbul",TR,0
SBD,San Bernardino International Airport,San Bernardino,US,0
SBZ,Sibiu International Airport,Sibiu,RO,0
SCL,Comodoro Arturo Merino Benítez International Airport,Santiago,CL,0
SCO,Aktau International Airport,Aktau,KZ,0
SCQ,Santiago-Rosalía de Castro Airport,Santiago de Compostela,ES,0
SCR,Scandinavian Mountains Airport,Malung-Sälen,SE,0
SCU,Antonio Maceo International Airport,Santiago,CU,0
SCV,Suceava Ștefan cel Mare International Airport,Suceava,RO,0
SDF,Louisville Muhammad Ali International Airport,Louisville,US,0
SDJ,Sendai Airport,Natori,JP,0
SDQ,Las Américas International Airport,Santo Domingo,DO,0
SDU,Santos Dumont Airport,Rio de Janeiro,BR,0
SEA,Seattle–Tacoma International Airport,Seattle,US,0
SEZ,Seychelles International Airport,Victoria,SC,0
SFB,Orlando Sanford International Airport,Orlando,US,0
SFO,San Francisco International Airport,San Francisco,US,0
SFS,Subic Bay International Airport / Naval Air Station Cubi Point,Olongapo,PH,0
SGC,Surgut International Airport,Surgut,RU,0
SGN,Tan Son Nhat International Airport,Ho Chi Minh City,VN,0
SHA,Shanghai Hongqiao International Airport,Shanghai (Minhang),CN,0
SHE,Shenyang Taoxian International Airport,Shenyang,CN,0
SHJ,Sharjah International Airport,Sharjah,AE,0
SHO,King Mswati III International Airport,Mpaka,SZ,0
SID,Amílcar Cabral International Airport,Espargos,CV,0
SIN,Singapore Changi Airport,Singapore,SG,0
SJC,Mineta San Jose International Airport,San Jose,US,0
SJD,Los Cabos International Airport,San José del Cabo,MX,0
SJJ,Sarajevo International Airport,Sarajevo,BA,0
SJO,Juan Santamaría International Airport,San José (Alajuela),CR,0
SJU,Luis Munoz Marin International Airport,San Juan,PR,0
SJW,Shijiazhuang Zhengding International Airport,Shijiazhuang,CN,0
SKB,Robert L. Bradshaw International Airport,Basseterre,KN,0
SKD,Samarkand International Airport,Samarkand,UZ,0
SKG,Thessaloniki Macedonia International Airport,Thessaloniki,GR,0
SKO,Sadiq Abubakar III International Airport,Sokoto,NG,0
SKP,Skopje International Airport,Ilinden,MK,0
SKT,Sialkot International Airport,Sialkot,PK,0
SKX,Saransk International Airport,Saransk,RU,0
SLA,Martín Miguel de Güemes International Airport,Salta,AR,0
SLC,Salt Lake City International Airport,Salt Lake City,US,0
SLL,Salalah International Airport,Salalah,OM,0
SLZ,Marechal Cunha Machado International Airport,São Luís,BR,0
SMF,Sacramento International Airport,Sacramento,US,0
SNA,John Wayne Orange County International Airport,Santa Ana,US,0
SNC,General Ulpiano Paez International Airport,Salinas/La Libertad,EC,0
SNN,Shannon Airport,Shannon,IE,0
SNU,Abel Santamaria International Airport,Santa Clara,CU,0
SOC,Adisoemarmo International Airport,Surakarta,ID,0
SOF,Sofia Airport,Sofia,BG,0
SPU,Split Saint Jerome Airport,Split,HR,0
SPX,Sphinx International Airport,Al Jiza,EG,0
SRE,Alcantarí International Airport,Sucre,BO,0
SRG,Jenderal Ahmad Yani Airport,Semarang,ID,0
SRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,US,0
SSA,Deputado Luiz Eduardo Magalhães International Airport,Salvador,BR,0
SSG,Malabo International Airport,Malabo,GQ,0
SSH,Sharm El Sheikh International Airport,Sharm El Sheikh,EG,0
STI,Cibao International Airport,Santiago,DO,0
STL,St. Louis Lambert International Airport,St Louis,US,0
STN,London Stansted Airport,"London, Essex",GB,0
STR,Stuttgart Airport,Stuttgart,DE,0
STT,Cyril E. King Airport,Charlotte Amalie,VI,0
STV,Surat International Airport,Surat,IN,0
SUB,Juanda International Airport,Surabaya,ID,0
SUF,Lamezia Terme Sant'Eufemia International Airport,Lamezia Terme (CZ),IT,0
SUV,Nausori International Airport,Nausori,FJ,0
SVD,Argyle International Airport,Kingstown,VC,0
SVG,"Stavanger Airport, Sola",Stavanger,NO,0
SVO,Sheremetyevo International Airport,Moscow,RU,0
SVQ,Seville Airport,Seville,ES,0
SVX,Koltsovo Airport,Yekaterinburg,RU,0
SWA,Jieyang Chaoshan International Airport,Jieyang (Rongcheng),CN,0
SXB,Strasbourg Airport,Strasbourg,FR,0
SXM,Princess Juliana International Airport,Sint Maarten,SX,0
SXR,Srinagar International Airport,Srinagar,IN,0
SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),AU,0
SYR,Syracuse Hancock International Airport,Syracuse,US,0
SYX,Sanya Phoenix International Airport,Sanya (Tianya),CN,0
SYZ,Shiraz Shahid Dastghaib International Airport,Shiraz,IR,0
SZB,Sultan Abdul Aziz Shah International Airport,Subang,MY,0
SZG,Salzburg Airport,Salzburg,AT,0
SZX,Shenzhen Bao'an International Airport,Shenzhen,CN,0
SZZ,Solidarity Szczecin–Goleniów Airport,Szczecin(Glewice),PL,0
TAB,A.N.R. Robinson International Airport,Scarborough,TT,0
TAE,Daegu International Airport,Daegu,KR,0
TAG,Bohol-Panglao International Airport,Panglao,PH,0
TAK,Takamatsu Airport,Takamatsu,JP,0
TAO,Qingdao Jiaodong International Airport,Qingdao (Jiaozhou),CN,0
TAS,Tashkent International Airport,Tashkent,UZ,0
TAZ,Dashoguz International Airport,Daşoguz,TM,0
TBS,Tbilisi International Airport,Tbilisi,GE,0
TBU,Fua'amotu International Airport,Nuku'alofa,TO,0
TBZ,Tabriz International Airport,Tabriz,IR,0
TET,Tete Airport,Tete,MZ,0
TFN,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,ES,0
TFS,Tenerife Sur Airport,Tenerife,ES,0
TFU,Chengdu Tianfu International Airport,Chengdu (Jianyang),CN,0
TGD,Podgorica Airport / Podgorica Golubovci Airbase,Podgorica,ME,0
THR,Mehrabad International Airport,Tehran,IR,0
TIA,Tirana International Airport Mother Teresa,Rinas,AL,0
TIF,Taif International Airport,Taif,SA,0
TIJ,General Abelardo L. Rodriguez International Airport,Tijuana,MX,0
TIR,Tirupati International Airport,Tirupati,IN,0
TJM,Roshchino International Airport,Tyumen,RU,0
TJU,Kulob International Airport,Kulob,TJ,0
TKK,Chuuk International Airport,Weno Island,FM,0
TKS,Tokushima Awaodori Airport / JMSDF Tokushima Air Base,Tokushima,JP,0
TKU,Turku Airport,Turku,FI,0
TLC,Adolfo López Mateos International Airport,Toluca,MX,0
TLL,Lennart Meri Tallinn Airport,Tallinn,EE,0
TLM,Zenata – Messali El Hadj Airport,Zenata,DZ,0
TLS,Toulouse-Blagnac Airport,Toulouse/Blagnac,FR,0
TLV,Ben Gurion International Airport,Tel Aviv,IL,0
TML,Yakubu Tali International Airport,Tamale,GH,0
TMM,Toamasina Ambalamanasy Airport,Toamasina,MG,0
TMP,Tampere-Pirkkala Airport,Tampere / Pirkkala,FI,0
TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,DZ,0
TMS,São Tomé International Airport,São Tomé,ST,0
TNA,Jinan Yaoqiang International Airport,Jinan (Licheng),CN,0
TNG,Tangier Ibn Battuta Airport,Tangier,MA,0
TNN,Tainan International Airport / Tainan Air Base,Tainan (Rende),TW,0
TNR,Ivato International Airport,Antananarivo,MG,0
TOF,Tomsk Kamov Airport,Tomsk,RU,0
TOM,Tombouktou Airport,Timbuktu,ML,0
TOS,Tromsø Airport,Tromsø,NO,0
TPA,Tampa International Airport,Tampa,US,0
TPE,Taiwan Taoyuan International Airport,Taoyuan,TW,0
TQO,Felipe Carrillo Puerto International Airport Tulum,Tulum,MX,0
TRD,"Trondheim Airport, Værnes",Trondheim,NO,0
TRF,"Sandefjord Airport, Torp",Sandefjord(Torp),NO,0
TRN,Turin Airport,Caselle Torinese (TO),IT,0
TRS,Trieste Airport,Ronchi dei Legionari/Trieste,IT,0
TRU,Capitán FAP Carlos Martínez de Pinillos International Airport,Trujillo,PE,0
TRV,Thiruvananthapuram International Airport,Thiruvananthapuram,IN,0
TRW,Bonriki International Airport,South Tarawa,KI,0
TRZ,Tiruchirappalli International Airport,Tiruchirappalli,IN,0
TSA,Taipei Songshan International Airport,Taipei (Songshan),TW,0
TSF,Treviso Airport,Treviso (TV),IT,0
TSN,Tianjin Binhai International Airport,Tianjin,CN,0
TSR,Timișoara Traian Vuia International Airport,Timişoara,RO,0
TTU,Sania Ramel Airport,Tétouan,MA,0
TUC,Teniente Benjamín Matienzo International Airport,San Miguel de Tucumán,AR,0
TUK,Turbat International Airport,Turbat,PK,0
TUL,Tulsa International Airport,Tulsa,US,0
TUN,Tunis Carthage International Airport,Tunis,TN,0
TUS,Tucson International Airport,Tucson,US,0
TUU,Prince Sultan bin Abdulaziz International Airport,Tabuk,SA,0
TXN,Huangshan Tunxi International Airport,Huangshan,CN,0
TYN,Taiyuan Wusu International Airport,Taiyuan,CN,0
TYS,McGhee Tyson Airport,Knoxville/Maryville,US,0
TZL,Tuzla International Airport,Dubrave Gornje,BA,0
UBN,Ulaanbaatar Chinggis Khaan International Airport,Ulaanbaatar (Sergelen),MN,0
UET,Quetta International Airport,Quetta,PK,0
UFA,Ufa International Airport,Ufa,RU,0
UGC,Urgench International Airport,Urgench,UZ,0
UIO,Mariscal Sucre International Airport,Quito,EC,0
UKB,Kobe Airport,Kobe,JP,0
UKK,Oskemen International Airport,Ust-Kamenogorsk (Oskemen),KZ,0
ULH,Al-Ula International Airport,Al-Ula,SA,0
UME,Umeå Airport,Umeå,SE,0
UPG,Sultan Hasanuddin International Airport,Makassar,ID,0
URA,Manshuk Mametova International Airport,Uralsk,KZ,0
URC,Ürümqi Tianshan International Airport,Ürümqi,CN,0
USM,Samui International Airport,Na Thon (Ko Samui Island),TH,0
UTH,Udon Thani International Airport,Udon Thani,TH,0
UTP,U-Tapao–Rayong–Pattaya International Airport,Rayong,TH,0
UUD,Baikal International Airport,Ulan Ude,RU,0
UUS,Yuzhno-Sakhalinsk International Airport,Yuzhno-Sakhalinsk,RU,0
UVF,Hewanorra International Airport,Vieux Fort,LC,0
UYU,Joya Andina International Airport,Quijarro,BO,0
VAA,Vaasa Airport,Vaasa,FI,0
VAR,Varna Airport,Varna,BG,0
VAV,Vava'u International Airport,Vava'u Island,TO,0
VBY,Visby Airport,Visby,SE,0
VCA,Can Tho International Airport,Can Tho,VN,0
VCE,Venice Marco Polo Airport,Venezia (VE),IT,0
VCP,Viracopos International Airport,Campinas,BR,0
VER,General Heriberto Jara International Airport,Veracruz,MX,0
VFA,Victoria Falls International Airport,Victoria Falls,ZW,0
VGA,Vijayawada International Airport,Vijayawada,IN,0
VIE,Vienna International Airport,Vienna,AT,0
VIL,Dakhla Airport,Dakhla,EH,0
VIX,Eurico de Aguiar Salles International Airport,Vitória,BR,0
VKO,Vnukovo International Airport,Moscow,RU,0
VLC,Valencia Airport,Valencia,ES,0
VLI,Bauerfield International Airport,Port Vila,VU,0
VLN,Arturo Michelena International Airport,Valencia,VE,0
VNO,Vilnius International Airport,Vilnius,LT,0
VNS,Lal Bahadur Shastri International Airport,Varanasi,IN,0
VOG,Volgograd International Airport,Volgograd,RU,0
VRA,Juan Gualberto Gomez International Airport,Matanzas,CU,0
VRN,Verona Villafranca Valerio Catullo Airport,Caselle (VR),IT,0
VSA,Carlos Rovirosa Pérez International Airport,Villahermosa,MX,0
VST,Stockholm Västerås Airport,Stockholm / Västerås,SE,0
VTE,Wattay International Airport,Vientiane,LA,0
VTZ,Alluri Sitarama Raju International Airport (Vizag),Visakhapatnam,IN,0
VVI,Viru Viru International Airport,Santa Cruz,BO,0
VVO,Vladivostok International Airport,Artyom,RU,0
VXE,Cesaria Evora International Airport,São Pedro,CV,0
WAW,Warsaw Chopin Airport,Warsaw,PL,0
WDH,Hosea Kutako International Airport,Windhoek,NA,0
WLG,Wellington International Airport,Wellington,NZ,0
WLS,Hihifo Airport,Wallis Island,WF,0
WMI,Warsaw Modlin Airport,Nowy Dwór Mazowiecki,PL,0
WNZ,Wenzhou Longwan International Airport,Wenzhou (Longwan),CN,0
WRO,Copernicus Wrocław Airport,Wrocław,PL,0
WTB,Toowoomba Wellcamp Airport,Toowoomba,AU,0
WUH,Wuhan Tianhe International Airport,Wuhan (Huangpi),CN,0
WUX,Sunan Shuofang International Airport,Wuxi,CN,0
WVB,Walvis Bay International Airport,Walvis Bay(Rooikop),NA,0
XBJ,Birjand International Airport,Birjand,IR,0
XIY,Xi'an Xianyang International Airport,Xi'an,CN,0
XMN,Xiamen Gaoqi International Airport,Xiamen,CN,0
XNN,Xining Caojiabao International Airport,Haidong (Huzhu Tu Autonomous County),CN,0
XPL,Palmerola International Airport,Palmerola,HN,0
YAP,Yap International Airport,Yap Island,FM,0
YCU,Yuncheng Yanhu International Airport,Yuncheng (Yanhu),CN,0
YEG,Edmonton International Airport,Edmonton,CA,0
YHM,John C. Munro Hamilton International Airport,Hamilton,CA,0
YHZ,Halifax / Stanfield International Airport,Halifax,CA,0
YIA,Yogyakarta International Airport,Yogyakarta,ID,0
YIW,Yiwu Airport,Yiwu/Jinhua,CN,0
YKS,Platon Oyunsky Yakutsk International Airport,Yakutsk,RU,0
YLW,Kelowna International Airport,Kelowna,CA,0
YNB,Prince Abdulmohsen Bin Abdulaziz International Airport,Yanbu,SA,0
YNT,Yantai Penglai International Airport,Yantai,CN,0
YNY,Yangyang International Airport,Gonghang-ro,KR,0
YNZ,Yancheng Nanyang International Airport,Yancheng (Tinghu),CN,0
YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,0
YQB,Quebec Jean Lesage International Airport,Quebec,CA,0
YQG,Windsor International Airport,Windsor,CA,0
YUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA,0
YVR,Vancouver International Airport,Vancouver,CA,0
YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,CA,0
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,CA,0
YYC,Calgary International Airport,Calgary,CA,0
YYJ,Victoria International Airport,Victoria,CA,0
YYT,St. John's International Airport,St. John's,CA,0
YYZ,Toronto Pearson International Airport,Toronto,CA,0
ZAD,Zadar Airport,Zadar,HR,0
ZAG,Zagreb Franjo Tuđman International Airport,Velika Gorica,HR,0
ZAH,Zahedan International Airport,Zahedan,IR,0
ZAM,Zamboanga International Airport,Zamboanga,PH,0
ZAZ,Zaragoza Airport,Zaragoza,ES,0
ZCO,La Araucanía International Airport,Temuco,CL,0
ZHA,Zhanjiang Wuchuan International Airport,Zhanjiang,CN,0
ZIA,Zhukovsky International Airport,Moscow,RU,0
ZIH,Ixtapa-Zihuatanejo International Airport,Ixtapa,MX,0
ZNZ,Abeid Amani Karume International Airport,Zanzibar,TZ,0
ZQN,Queenstown Airport,Queenstown,NZ,0
ZRH,Zürich Airport,Zurich,CH,0
ZSA,San Salvador International Airport,San Salvador,BS,0
ZSE,Saint-Pierre Pierrefonds Airport,Saint-Pierre,RE,0
ZUH,Zhuhai Jinwan Airport,Zhuhai (Jinwan),CN,0
ZYL,Osmany International Airport,Sylhet,BD,0
AAA,Anaa Airport,Anaa,PF,1
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,1
AAT,Altay Xuedu Airport,Altay,CN,1
AAX,Romeu Zema Airport,Araxá,BR,1
AAY,Al Ghaydah International Airport,Al Ghaydah,YE,1
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,1
ABI,Abilene Regional Airport,Abilene,US,1
ABK,Kebri Dahar Airport,Kebri Dahar,ET,1
ABL,Ambler Airport,Ambler,US,1
ABR,Aberdeen Regional Airport,Aberdeen,US,1
ABS,Abu Simbel Airport,Abu Simbel,EG,1
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,1
ABX,Albury Airport,East Albury,AU,1
ABY,Southwest Georgia Regional Airport,Albany,US,1
ACH,Sankt Gallen Altenrhein Airport,St. Gallen,CH,1
ACI,Alderney Airport,Saint Anne,GG,1
ACK,Nantucket Memorial Airport,Nantucket,US,1
ACT,Waco Regional Airport,Waco,US,1
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,1
ACX,Xingyi Wanfenglin Airport,Xingyi,CN,1
ACY,Atlantic City International Airport,Atlantic City,US,1
ADF,Adıyaman Airport,Adıyaman,TR,1
ADK,Adak Airport,Adak,US,1
ADQ,Kodiak Airport,Kodiak,US,1
ADU,Ardabil Airport,Ardabil,IR,1
AEB,Baise (Bose) Bama Airport,Baise (Tianyang),CN,1
AEU,Abu Musa Island Airport,Abu Musa,IR,1
AEX,Alexandria International Airport,Alexandria,US,1
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR,1
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,1
AFZ,Sabzevar National Airport,Sabzevar,IR,1
AGH,Ängelholm-Helsingborg Airport,Ängelholm,SE,1
AGR,Agra Airport / Agra Air Force Station,Agra,IN,1
AGS,Augusta Regional At Bush Field,Augusta,US,1
AGX,Agatti Airport,Agatti,IN,1
AHA,Maa Mahamaya Airport,Ambikapur,IN,1
AHE,Ahe Airport,Ahe Atoll,PF,1
AHO,Alghero-Fertilia Airport,Alghero,IT,1
AHU,Cherif Al Idrissi Airport,Al Hoceima,MA,1
AIA,Alliance Municipal Airport,Alliance,US,1
AIN,Wainwright Airport,Wainwright,US,1
AJA,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,1
AJI,Ağrı Airport,Ağrı,TR,1
AJL,Lengpui Airport,Aizawl (Lengpui),IN,1
AJN,Ouani Airport,Ouani,KM,1
AJR,Arvidsjaur Airport,Arvidsjaur,SE,1
AJU,Aracaju - Santa Maria Airport,Aracaju,BR,1
AKF,Kufra Airport,Kufra,LY,1
AKJ,Asahikawa Airport,Higashikagura,JP,1
AKN,King Salmon Airport,King Salmon,US,1
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,US,1
AKR,Akure Airport,Akure,NG,1
AKU,Aksu Hongqipo Airport,Aksu (Onsu),CN,1
AKY,Sittwe Airport,Sittwe,MM,1
ALF,Alta Airport,Alta,NO,1
ALH,Albany Airport,Albany,AU,1
ALO,Waterloo Regional Airport,Waterloo,US,1
ALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,1
ALW,Walla Walla Regional Airport,Walla Walla,US,1
AMA,Rick Husband Amarillo International Airport,Amarillo,US,1
AMH,Arba Minch Airport,Arba Minch,ET,1
AMV,Amderma Airport,Amderma,RU,1
ANI,Aniak Airport,Aniak,US,1
ANR,Antwerp International Airport (Deurne),Antwerp,BE,1
ANV,Anvik Airport,Anvik,US,1
ANX,"Andøya Airport, Andenes",Andenes,NO,1
AOG,Anshan Teng'ao Airport / Anshan Air Base,Anshan,CN,1
AOI,Marche Airport,Falconara Marittima (AN),IT,1
AOK,Karpathos Airport,Karpathos Island,GR,1
AOO,Altoona Blair County Airport,Altoona,US,1
AOR,Sultan Abdul Halim Airport,Alor Satar,MY,1
APN,Alpena County Regional Airport,Alpena,US,1
APO,Antonio Roldán Betancur Airport,Carepa,CO,1
AQA,Araraquara Airport,Araraquara,BR,1
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,Anqing,CN,1
ARC,Arctic Village Airport,Arctic Village,US,1
ARH,Talagi Airport,Archangelsk,RU,1
ARI,Chacalluta International Airport,Arica,CL,1
ARK,Arusha Airport,Arusha,TZ,1
ARM,Armidale Airport,Armidale,AU,1
ART,Watertown International Airport,Watertown,US,1
ARU,Araçatuba Airport,Araçatuba,BR,1
ARW,Arad International Airport,Arad,RO,1
ASD,Andros Town Airport,Andros Town,BS,1
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,US,1
ASI,RAF Ascension Island,Cat Hill,SH,1
ASJ,Amami Airport,Amami,JP,1
ASM,Asmara International Airport,Asmara,ER,1
ASO,Asosa Airport,Asosa,ET,1
ASP,Alice Springs Airport,Alice Springs,AU,1
ASV,Amboseli Airport,Ol Tukai,KE,1
ATC,Arthur's Town Airport,Arthur's Town,BS,1
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,1
ATM,Altamira Interstate Airport,Altamira,BR,1
ATW,Appleton International Airport,Appleton,US,1
ATY,Watertown Regional Airport,Watertown,US,1
AUC,Santiago Perez Airport,Arauca,CO,1
AUG,Augusta State Airport,Augusta,US,1
AUQ,Hiva Oa-Atuona Airport,Hiva Oa Island,PF,1
AUR,Aurillac airport,Aurillac,FR,1
AUX,Araguaína Airport,Araguaína,BR,1
AVA,Anshun Huangguoshu Airport,Anshun (Xixiu),CN,1
AVK,Arvaikheer Airport,Arvaikheer,MN,1
AVL,Asheville Regional Airport,Asheville,US,1
AVN,Avignon Caumont airport,Avignon,FR,1
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,US,1
AVR,Amravati  Airport,Amravati,IN,1
AWK,Wake Island Airfield,Wake Island,UM,1
AXA,Clayton J. Lloyd International Airport,The Valley,AI,1
AXD,Alexandroupoli Democritus Airport,Alexandroupolis,GR,1
AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,1
AXJ,Amakusa Airport,Amakusa,JP,1
AXM,El Eden Airport,Armenia,CO,1
AXP,Spring Point Airport,Spring Point,BS,1
AXR,Arutua Airport,Arutua Airport,PF,1
AXT,Akita Airport,Akita,JP,1
AXU,Axum Airport,Axum,ET,1
AYJ,Maharshi Valmiki International Airport,Faizabad,IN,1
AYP,Air Force Colonel Alfredo Mendivil Duarte Airport,Ayacucho,PE,1
AYQ,Ayers Rock Connellan Airport,Yulara,AU,1
AZA,Mesa Gateway Airport,Mesa,US,1
AZD,Shahid Sadooghi Airport,Yazd,IR,1
AZN,Andijan International Airport,Andijan,UZ,1
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,US,1
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,DZ,1
AZS,Samaná El Catey International Airport,Samana,DO,1
BAL,Batman Airport,Batman,TR,1
BAR,Qionghai Bo'ao Airport,Qionghai (Basuo),CN,1
BAY,Maramureș International Airport,Tăuții-Măgherăuș,RO,1
BBA,Balmaceda Airport,Balmaceda,CL,1
BBM,Battambang Airport,Battambang,KH,1
BBN,Bario Airport,Bario,MY,1
BBO,Berbera Airport,Berbera,SO,1
BBQ,Burton-Nibbs International Airport,Codrington,AG,1
BCA,Gustavo Rizo Airport,Baracoa,CU,1
BCH,Baucau Airport,Baucau,TL,1
BCI,Barcaldine Airport,Barcaldine,AU,1
BCO,Jinka Airport,Jinka,ET,1
BDB,Bundaberg Airport,Bundaberg,AU,1
BDH,Bandar Lengeh International Airport,Bandar Lengeh,IR,1
BDO,Husein Sastranegara International Airport,Bandung,ID,1
BDT,Gbadolite Airport,Gbadolite,CD,1
BDU,Bardufoss Airport,Målselv,NO,1
BEB,Benbecula Airport,Balivanich,GB,1
BED,Laurence G Hanscom Field,Bedford,US,1
BEF,Bluefields Airport,Bluefields,NI,1
BEJ,Kalimarau Airport,Tanjung Redeb - Borneo Island,ID,1
BEK,Bareilly Air Force Station,Bareilly,IN,1
BET,Bethel Airport,Bethel,US,1
BEU,Bedourie Airport,Bedourie,AU,1
BFD,Bradford Regional Airport,Bradford,US,1
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,US,1
BFI,King County International Airport - Boeing Field,Seattle,US,1
BFJ,Bijie Feixiong Airport,Bijie,CN,1
BFL,Meadows Field,Bakersfield,US,1
BFV,Buri Ram Airport,Buriram,TH,1
BFY,Bengbu Tenghu Airport,Bengbu,CN,1
BGA,Palonegro Airport,Bucaramanga,CO,1
BGC,Bragança Airport,Bragança,PT,1
BGG,Bingöl Airport,Bingöl,TR,1
BGM,Greater Binghamton/Edwin A Link field,Binghamton,US,1
BGR,Bangor International Airport,Bangor,US,1
BHB,Hancock County-Bar Harbor Airport,Bar Harbor,US,1
BHD,George Best Belfast City Airport,Belfast,GB,1
BHE,Woodbourne Airport,Blenheim,NZ,1
BHH,Bisha Airport,Bisha,SA,1
BHI,Comandante Espora Airport,Bahía Blanca,AR,1
BHJ,Bhuj Airport,Bhuj,IN,1
BHQ,Broken Hill Airport,Broken Hill,AU,1
BHS,Bathurst Airport,Bathurst,AU,1
BHU,Bhavnagar Airport,Bhavnagar,IN,1
BHV,Bahawalpur Airport,Bahawalpur,PK,1
BHY,Beihai Fucheng Airport,Beihai,CN,1
BIH,Eastern Sierra Regional Airport,Bishop,US,1
BIK,Frans Kaisiepo Airport,Biak,ID,1
BIL,Billings Logan International Airport,Billings,US,1
BIM,South Bimini Airport,South Bimini,BS,1
BIQ,Biarritz Pays Basque airport,Biarritz,FR,1
BIR,Biratnagar Airport,Biratnagar,NP,1
BIS,Bismarck Municipal Airport,Bismarck,US,1
BJB,Bojnord Airport,Bojnord,IR,1
BJC,Rocky Mountain Metropolitan Airport,Denver,US,1
BJF,Båtsfjord Airport,Båtsfjord,NO,1
BJR,Bahir Dar Airport,Bahir Dar,ET,1
BJZ,Badajoz Airport,Badajoz,ES,1
BKG,Branson Airport,Branson,US,1
BKN,Balkanabat International Airport,Balkanabat,TM,1
BKQ,Blackall Airport,Blackall,AU,1
BKS,Fatmawati Soekarno Airport,Bengkulu,ID,1
BKW,Raleigh County Memorial Airport,Beaver,US,1
BLD,Boulder City Municipal Airport,Boulder City,US,1
BLE,Dala Airport,Borlange,SE,1
BLI,Bellingham International Airport,Bellingham,US,1
BLV,Scott AFB/Midamerica Airport,Belleville,US,1
BMA,Stockholm-Bromma Airport,Stockholm,SE,1
